"autor","l0","l1","l2","gender"
"Reihaneh H. Hariri","GreaterAfrican","Muslim","\N","F"
"Reihaneh Safavi-Naini","GreaterAfrican","Africans","\N","F"
"Reiko Heckel","GreaterEuropean","Jewish","\N","F"
"Rein Houthooft","GreaterEuropean","British","\N","F"
"Rein Raudjärv","GreaterEuropean","WestEuropean","Nordic","F"
"Rein van den Boomgaard","GreaterEuropean","British","\N","F"
"Reina Yoshikawa","Asian","GreaterEastAsian","Japanese","F"
"Rekha Bachwani","GreaterAfrican","Muslim","\N","F"
"Rekha Pathak","Asian","IndianSubContinent","\N","F"
"Rekha Redamalla","Asian","IndianSubContinent","\N","F"
"Rema Ananthanarayanan","Asian","IndianSubContinent","\N","F"
"Rema Padman","Asian","IndianSubContinent","\N","F"
"Remedios de Dios Bulos","GreaterEuropean","WestEuropean","Hispanic","F"
"Ren Ng","Asian","GreaterEastAsian","EastAsian","F"
"Ren Ren","Asian","GreaterEastAsian","EastAsian","F"
"Ren Shang","Asian","GreaterEastAsian","EastAsian","F"
"Ren Sun","Asian","GreaterEastAsian","EastAsian","F"
"Ren Wang","Asian","GreaterEastAsian","EastAsian","F"
"Rena Bakhshi","Asian","IndianSubContinent","\N","F"
"Renana Meller","GreaterEuropean","Jewish","\N","F"
"Renata Borovica","GreaterEuropean","EastEuropean","\N","F"
"Renata Borovica-Gajic","GreaterEuropean","EastEuropean","\N","F"
"Renata de Matos Galante","GreaterEuropean","WestEuropean","Hispanic","F"
"Renata Galante","GreaterEuropean","Jewish","\N","F"
"Renata M. C. R. de Souza","GreaterEuropean","British","\N","F"
"Renata P. de Freitas","Asian","IndianSubContinent","\N","F"
"Renata S. S. Guizzardi","Asian","IndianSubContinent","\N","F"
"Renata Teixeira","GreaterEuropean","WestEuropean","Hispanic","F"
"Renata Vieira","GreaterEuropean","WestEuropean","Hispanic","F"
"Renata Wassermann","GreaterEuropean","WestEuropean","Germanic","F"
"Renate A. Schmidt","GreaterEuropean","WestEuropean","Germanic","F"
"Renate Häuslschmid","GreaterEuropean","WestEuropean","Germanic","F"
"Renate Henschel","GreaterEuropean","Jewish","\N","F"
"Renate Löffler","GreaterEuropean","WestEuropean","Germanic","F"
"Renate Motschnig-Pitrik","GreaterEuropean","WestEuropean","Germanic","F"
"Renate Strazdina","GreaterEuropean","EastEuropean","\N","F"
"Renee Arora","Asian","IndianSubContinent","\N","F"
"Renée C. Bryce","GreaterEuropean","British","\N","F"
"Renée J. Miller","GreaterEuropean","British","\N","F"
"Renen Perlman","GreaterEuropean","Jewish","\N","F"
"Renita Margaret Murimi","Asian","GreaterEastAsian","Japanese","F"
"Renju T. Jacob","GreaterEuropean","Jewish","\N","F"
"Renu Bostwick","GreaterEuropean","British","\N","F"
"Renu Kurien Bostwick","GreaterEuropean","British","\N","F"
"Renu Tewari","Asian","IndianSubContinent","\N","F"
"Renuka Arya","Asian","IndianSubContinent","\N","F"
"Renuka Shenoy","Asian","GreaterEastAsian","Japanese","F"
"Renuka Sindhgatta","Asian","IndianSubContinent","\N","F"
"Rere Li","Asian","GreaterEastAsian","EastAsian","F"
"Reshma Ramadurai","Asian","IndianSubContinent","\N","F"
"Reut Levi","GreaterEuropean","Jewish","\N","F"
"Reut Tsarfaty","Asian","GreaterEastAsian","EastAsian","F"
"Revital Danoch","Asian","GreaterEastAsian","EastAsian","F"
"Reyes Grangel","GreaterEuropean","WestEuropean","Hispanic","F"
"Reyes Rios-Cabrera","GreaterEuropean","WestEuropean","Hispanic","F"
"Reyn Y. Nakamoto","Asian","GreaterEastAsian","Japanese","F"
"Reyyan Yeniterzi","GreaterEuropean","Jewish","\N","F"
"Rhema Linder","GreaterEuropean","British","\N","F"
"Rhianne Jones","GreaterEuropean","British","\N","F"
"Rhiannon Sterling Zivin","GreaterEuropean","WestEuropean","French","F"
"Rhoda Au","Asian","GreaterEastAsian","EastAsian","F"
"Rhonda Baldwin","GreaterEuropean","British","\N","F"
"Rhonda Chaytor","GreaterEuropean","British","\N","F"
"Rhonda Gilligan","GreaterEuropean","British","\N","F"
"Rhonda Hoenigman","Asian","IndianSubContinent","\N","F"
"Rhonda Rosenbaum","GreaterEuropean","Jewish","\N","F"
"Rianne Kaptein","GreaterEuropean","Jewish","\N","F"
"Rianne van Lambalgen","GreaterAfrican","Muslim","\N","F"
"Rianne Veenstra","GreaterEuropean","WestEuropean","Germanic","F"
"Rica Gonen","GreaterEuropean","Jewish","\N","F"
"Richa Khera","Asian","IndianSubContinent","\N","F"
"Richa Sharma","Asian","IndianSubContinent","\N","F"
