"autor","l0","l1","l2","gender"
"Kerry Shih-Ping Chang","Asian","GreaterEastAsian","EastAsian","F"
"Kerry Taylor","GreaterEuropean","British","\N","F"
"Kerstin Bischoff","GreaterEuropean","WestEuropean","Germanic","F"
"Kerstin Borau","GreaterEuropean","WestEuropean","Nordic","F"
"Kerstin Bunte","GreaterEuropean","WestEuropean","Nordic","F"
"Kerstin Dautenhahn","GreaterEuropean","Jewish","\N","F"
"Kerstin Denecke","GreaterEuropean","Jewish","\N","F"
"Kerstin Eckart","GreaterEuropean","WestEuropean","Nordic","F"
"Kerstin Forsberg","GreaterEuropean","Jewish","\N","F"
"Kerstin Guenther","GreaterEuropean","WestEuropean","Nordic","F"
"Kerstin Klöckner","GreaterEuropean","WestEuropean","Nordic","F"
"Kerstin Kreutz","GreaterEuropean","WestEuropean","French","F"
"Kerstin Leder Mackley","GreaterEuropean","British","\N","F"
"Kerstin Scheubert","GreaterEuropean","Jewish","\N","F"
"Kerstin Severinson Eklundh","GreaterAfrican","Africans","\N","F"
"Kerstin Vanselow","GreaterEuropean","WestEuropean","Nordic","F"
"Kerstin Weller","GreaterEuropean","British","\N","F"
"Kerstin Wendt","GreaterEuropean","WestEuropean","Nordic","F"
"Kesha Shah","Asian","IndianSubContinent","\N","F"
"Kesheng Wu","Asian","GreaterEastAsian","EastAsian","F"
"Keshi Dai","Asian","GreaterEastAsian","EastAsian","F"
"Keta Patel","Asian","IndianSubContinent","\N","F"
"Kexin Ma","Asian","GreaterEastAsian","EastAsian","F"
"Kexin Pei","GreaterEuropean","WestEuropean","Italian","F"
"Kexin Ren","Asian","GreaterEastAsian","EastAsian","F"
"Kexin Xie","Asian","GreaterEastAsian","EastAsian","F"
"Key Jung Lee","Asian","GreaterEastAsian","EastAsian","F"
"Keya Li","Asian","GreaterEastAsian","EastAsian","F"
"Keyla Ahnizeret","GreaterEuropean","WestEuropean","French","F"
"Khadidja Nour el Houda Slimani","GreaterAfrican","Muslim","\N","F"
"Khadidja Sylla","GreaterAfrican","Africans","\N","F"
"Khanh Do Ba","Asian","GreaterEastAsian","EastAsian","F"
"Khanh Le","GreaterEuropean","WestEuropean","French","F"
"Khanh Nguyen","GreaterEuropean","British","\N","F"
"Khanh Vu","GreaterEuropean","British","\N","F"
"Khedija Arour","GreaterAfrican","Muslim","\N","F"
"Kheng Guan Goh","Asian","GreaterEastAsian","EastAsian","F"
"Kheng Hong Soh","Asian","GreaterEastAsian","EastAsian","F"
"Kher Hui Ng","Asian","GreaterEastAsian","EastAsian","F"
"Khiet P. Truong","GreaterEuropean","British","\N","F"
"Kholoud Saleh Al-Senaidi","GreaterAfrican","Muslim","\N","F"
"Khurshid Ahmad","GreaterAfrican","Muslim","\N","F"
"Khushbu Agarwal","Asian","IndianSubContinent","\N","F"
"Khyathi Chandu Raghavi","Asian","IndianSubContinent","\N","F"
"Kia Makki","GreaterAfrican","Muslim","\N","F"
"Kia Teymourian","GreaterAfrican","Africans","\N","F"
"Kiana Hajebi","GreaterAfrican","Africans","\N","F"
"Kianoosh Mokhtarian","Asian","IndianSubContinent","\N","F"
"Kiem Hoang","GreaterEuropean","British","\N","F"
"Kiera Henning","GreaterEuropean","WestEuropean","Nordic","F"
"Kiev Gama","Asian","IndianSubContinent","\N","F"
"Kikuko Kamisaka","Asian","GreaterEastAsian","Japanese","F"
"Kiley Sobel","GreaterEuropean","Jewish","\N","F"
"Kim Anh Nguyen","GreaterEuropean","British","\N","F"
"Kim Binsted","GreaterEuropean","British","\N","F"
"Kim Boyer","GreaterEuropean","WestEuropean","French","F"
"Kim Cameron","GreaterEuropean","British","\N","F"
"Kim Carl","GreaterEuropean","WestEuropean","Nordic","F"
"Kim Chen","Asian","GreaterEastAsian","EastAsian","F"
"Kim Cuong Pham","GreaterEuropean","British","\N","F"
"Kim Farrell","GreaterEuropean","British","\N","F"
"Kim G. Larsen","GreaterEuropean","WestEuropean","Nordic","F"
"Kim Gerdes","GreaterEuropean","WestEuropean","Germanic","F"
"Kim Goodwin","GreaterEuropean","British","\N","F"
"Kim Guldstrand Larsen","GreaterEuropean","WestEuropean","Nordic","F"
"Kim Gybels","GreaterEuropean","EastEuropean","\N","F"
"Kim Halskov","GreaterEuropean","EastEuropean","\N","F"
"Kim Hansen","GreaterEuropean","WestEuropean","Nordic","F"
"Kim Harrison","GreaterEuropean","British","\N","F"
"Kim Herzig","GreaterEuropean","WestEuropean","Germanic","F"
"Kim J. L. Nevelsteen","Asian","IndianSubContinent","\N","F"
"Kim Jackson","GreaterEuropean","British","\N","F"
"Kim Jarvis","GreaterEuropean","British","\N","F"
"Kim Kern","GreaterEuropean","EastEuropean","\N","F"
"Kim L. Boyer","GreaterEuropean","WestEuropean","French","F"
"Kim Laine","GreaterEuropean","British","\N","F"
"Kim Lauenroth","GreaterEuropean","WestEuropean","Germanic","F"
"Kim Lavoie","GreaterEuropean","WestEuropean","French","F"
"Kim M. Dalton","GreaterEuropean","British","\N","F"
"Kim M. Hazelwood","GreaterEuropean","British","\N","F"
"Kim Man Lui","Asian","GreaterEastAsian","EastAsian","F"
"Kim Marriott","GreaterEuropean","British","\N","F"
"Kim Mens","Asian","GreaterEastAsian","EastAsian","F"
"Kim Miller","GreaterEuropean","British","\N","F"
"Kim Moir","Asian","IndianSubContinent","\N","F"
"Kim Nguyen 0001","GreaterEuropean","British","\N","F"
"Kim Nimon","Asian","GreaterEastAsian","Japanese","F"
"Kim Oakes","GreaterEuropean","British","\N","F"
"Kim Pecina","GreaterEuropean","WestEuropean","Italian","F"
"Kim R. Rasmussen","GreaterEuropean","WestEuropean","Nordic","F"
"Kim S. Henriksen","GreaterEuropean","WestEuropean","Nordic","F"
"Kim S. Larsen","GreaterEuropean","WestEuropean","Nordic","F"
"Kim Schouten","GreaterEuropean","WestEuropean","Germanic","F"
"Kim Sebastian Herzig","GreaterEuropean","WestEuropean","Germanic","F"
"Kim Shearer","GreaterEuropean","British","\N","F"
"Kim Slattery","GreaterEuropean","British","\N","F"
"Kim Steenstrup Pedersen","GreaterEuropean","WestEuropean","Nordic","F"
"Kim Thaysen","GreaterEuropean","British","\N","F"
"Kim Viljanen","GreaterEuropean","WestEuropean","Nordic","F"
"Kim W. May","GreaterEuropean","British","\N","F"
"Kim Wheeler","GreaterEuropean","British","\N","F"
"Kim Whittlesey","GreaterEuropean","British","\N","F"
"Kimaya Mittal","Asian","IndianSubContinent","\N","F"
"Kimberle Koile","GreaterEuropean","WestEuropean","Germanic","F"
"Kimberly A. Gero","GreaterEuropean","Jewish","\N","F"
"Kimberly Bryant","GreaterEuropean","British","\N","F"
"Kimberly C. Claffy","GreaterEuropean","British","\N","F"
"Kimberly Elenberg","GreaterEuropean","Jewish","\N","F"
"Kimberly Ferguson","GreaterEuropean","British","\N","F"
"Kimberly Keeton","GreaterEuropean","British","\N","F"
"Kimberly M. Wasserman","GreaterEuropean","Jewish","\N","F"
"Kimberly Paterson","GreaterEuropean","British","\N","F"
"Kimberly S. Ling","Asian","GreaterEastAsian","EastAsian","F"
"Kimberly S. Wasson","GreaterEuropean","British","\N","F"
"Kimberly Tam","Asian","GreaterEastAsian","EastAsian","F"
"Kimberly Tee","Asian","GreaterEastAsian","Japanese","F"
"Kimberly Weaver","GreaterEuropean","British","\N","F"
"Kimberly Yu","Asian","GreaterEastAsian","EastAsian","F"
"Kimi Kaneko","Asian","GreaterEastAsian","Japanese","F"
"Kimiko Ryokai","Asian","GreaterEastAsian","Japanese","F"
"Kimin Lee","Asian","GreaterEastAsian","EastAsian","F"
"Kimin Oh","Asian","GreaterEastAsian","Japanese","F"
"Kimin Yun","Asian","GreaterEastAsian","EastAsian","F"
"Kina Winoto","Asian","GreaterEastAsian","Japanese","F"
"Kinda Anna Saddi","GreaterEuropean","WestEuropean","Italian","F"
"Kinda El Maarry","GreaterAfrican","Muslim","\N","F"
"Kinya Fujita","Asian","GreaterEastAsian","Japanese","F"
"Kinzang Chhogyal","Asian","GreaterEastAsian","EastAsian","F"
"Kira Griffitt","GreaterEuropean","British","\N","F"
"Kira Radinsky","GreaterEuropean","EastEuropean","\N","F"
"Kira Storgaard Hansen","GreaterEuropean","WestEuropean","Nordic","F"
"Kiralee M. Hayashi","Asian","GreaterEastAsian","Japanese","F"
"Kiran Bastola","GreaterEuropean","WestEuropean","Italian","F"
"Kiran G. V. R.","Asian","IndianSubContinent","\N","F"
"Kiran Garimella","GreaterAfrican","Muslim","\N","F"
"Kiran Indukuri","Asian","GreaterEastAsian","Japanese","F"
"Kiran K. Rachuri","Asian","IndianSubContinent","\N","F"
"Kiran K. Seunarine","Asian","GreaterEastAsian","EastAsian","F"
"Kiran Kate","Asian","IndianSubContinent","\N","F"
"Kiran Kushalad","GreaterAfrican","Muslim","\N","F"
"Kiran Lakhotia","Asian","IndianSubContinent","\N","F"
"Kiran Lakkaraju","Asian","IndianSubContinent","\N","F"
"Kiran Misra","Asian","IndianSubContinent","\N","F"
"Kiran Nagaraja","Asian","IndianSubContinent","\N","F"
"Kiran Prakash Sawant","Asian","IndianSubContinent","\N","F"
"Kiran Raj Joshi","Asian","IndianSubContinent","\N","F"
"Kiran S. Balagani","Asian","IndianSubContinent","\N","F"
"Kiran S. Kedlaya","Asian","IndianSubContinent","\N","F"
"Kiran Srinivasan","Asian","IndianSubContinent","\N","F"
"Kiran Tati","GreaterEuropean","EastEuropean","\N","F"
"Kiran Varanasi","Asian","IndianSubContinent","\N","F"
"Kiran Venkataramanappa","Asian","IndianSubContinent","\N","F"
"Kirby G. Vosburgh","GreaterEuropean","British","\N","F"
"Kiri L. Wagstaff","GreaterEuropean","British","\N","F"
"Kiri Wagstaff","GreaterEuropean","British","\N","F"
"Kiriaki Riga","Asian","GreaterEastAsian","Japanese","F"
"Kirsten A. Smith","GreaterEuropean","British","\N","F"
"Kirsten Boehner","GreaterEuropean","WestEuropean","Germanic","F"
"Kirsten Cater","GreaterEuropean","British","\N","F"
"Kirsten Eisenträger","GreaterEuropean","WestEuropean","Nordic","F"
"Kirsten F. Cater","GreaterEuropean","British","\N","F"
"Kirsten Haaland","GreaterEuropean","WestEuropean","Nordic","F"
"Kirsten Hildrum","GreaterEuropean","British","\N","F"
"Kirsten M. Winters","GreaterEuropean","British","\N","F"
"Kirsten R. Butcher","GreaterEuropean","British","\N","F"
"Kirsten Rassmus-Gröhn","GreaterEuropean","WestEuropean","Germanic","F"
"Kirsten Risden","GreaterEuropean","WestEuropean","Nordic","F"
"Kirsten Swearingen","GreaterEuropean","British","\N","F"
"Kirsten Taylor-McCabe","GreaterEuropean","British","\N","F"
"Kirsten Vallmuur","GreaterEuropean","WestEuropean","Nordic","F"
"Kirsten Winter","GreaterEuropean","British","\N","F"
"Kirsten Yee","Asian","GreaterEastAsian","EastAsian","F"
"Kirstie Beaver","GreaterEuropean","British","\N","F"
"Kirstie Hawkey","GreaterEuropean","British","\N","F"
"Kirstin Early","GreaterEuropean","British","\N","F"
"Kirstin Kohler","GreaterEuropean","WestEuropean","Germanic","F"
"Kirstin Walter","GreaterEuropean","British","\N","F"
"Kirstine Berg","GreaterEuropean","WestEuropean","Nordic","F"
"Kishiko Maruyama","Asian","GreaterEastAsian","Japanese","F"
"Kishori M. Konwar","Asian","IndianSubContinent","\N","F"
"Kismat Sood","Asian","IndianSubContinent","\N","F"
"Kitt Hirasaki","Asian","GreaterEastAsian","Japanese","F"
"Kiyana Zolfaghar","GreaterAfrican","Muslim","\N","F"
"Kiyoko F. Aoki-Kinoshita","Asian","GreaterEastAsian","Japanese","F"
"Kiyoung Kim","Asian","GreaterEastAsian","EastAsian","F"
"Kiyoung Yang","Asian","GreaterEastAsian","EastAsian","F"
"Klaar De Schepper","GreaterEuropean","Jewish","\N","F"
"Klara A. Weiand","GreaterEuropean","Jewish","\N","F"
"Klara Kedem","GreaterEuropean","Jewish","\N","F"
"Klara Lindner","GreaterEuropean","Jewish","\N","F"
"Klara Nahrstedt","GreaterEuropean","Jewish","\N","F"
"Klara Stokes","GreaterEuropean","British","\N","F"
"Klarinda G. Widjanarko","GreaterEuropean","EastEuropean","\N","F"
"Klarissa T. T. Chang","Asian","IndianSubContinent","\N","F"
"Klaudia Hergula","GreaterEuropean","WestEuropean","French","F"
"Klim Efremenko","GreaterAfrican","Muslim","\N","F"
"Koeun Choi","Asian","GreaterEastAsian","EastAsian","F"
"Koki Hamada","Asian","GreaterEastAsian","Japanese","F"
"Koki Kato","Asian","GreaterEastAsian","Japanese","F"
"Koki Kusano","Asian","GreaterEastAsian","Japanese","F"
"Koki Toda","Asian","GreaterEastAsian","Japanese","F"
"Koki Uchiyama","Asian","GreaterEastAsian","Japanese","F"
"Kolina Koltai","GreaterAfrican","Africans","\N","F"
"Komal Kapoor","Asian","IndianSubContinent","\N","F"
"Koninika Pal","Asian","IndianSubContinent","\N","F"
"Kono Kim","Asian","GreaterEastAsian","EastAsian","F"
"Konstantina Christakopoulou","GreaterEuropean","EastEuropean","\N","F"
"Konstantina Garoufi","GreaterAfrican","Muslim","\N","F"
"Konstantina Lazaridou","GreaterAfrican","Muslim","\N","F"
"Konstantina Palla","GreaterEuropean","British","\N","F"
"Konstantina Papagiannaki","Asian","IndianSubContinent","\N","F"
"Konstantina Valogianni","GreaterEuropean","EastEuropean","\N","F"
"Kook Hyun Chung","Asian","GreaterEastAsian","EastAsian","F"
"Kook Jin Ahn","Asian","GreaterEastAsian","EastAsian","F"
"Kora A. Bongen","Asian","GreaterEastAsian","EastAsian","F"
"Kori Inkpen","GreaterAfrican","Africans","\N","F"
"Kori M. Inkpen","GreaterAfrican","Africans","\N","F"
"Korin Werner","GreaterEuropean","Jewish","\N","F"
"Korinna Grabski","GreaterEuropean","EastEuropean","\N","F"
"Kota Hara","Asian","GreaterEastAsian","Japanese","F"
"Kota Kumagai","Asian","GreaterEastAsian","Japanese","F"
"Kota Sampei","Asian","IndianSubContinent","\N","F"
"Kota Yamaguchi","Asian","GreaterEastAsian","Japanese","F"
"Kouta Minamizawa","Asian","GreaterEastAsian","Japanese","F"
"Kow Kuroda","Asian","GreaterEastAsian","Japanese","F"
"Koyel Mukherjee","Asian","IndianSubContinent","\N","F"
"Kree Cole-McLaughlin","GreaterEuropean","WestEuropean","Italian","F"
"Kripa Rajshekhar","Asian","IndianSubContinent","\N","F"
"Krist Wongsuphasawat","Asian","IndianSubContinent","\N","F"
"Krista A. Ehinger","GreaterEuropean","WestEuropean","Hispanic","F"
"Krista Coleman","GreaterEuropean","Jewish","\N","F"
"Krista Gile","GreaterEuropean","WestEuropean","Hispanic","F"
"Krista Lagus","GreaterEuropean","WestEuropean","Hispanic","F"
"Kristal T. Pollack","GreaterEuropean","Jewish","\N","F"
"Kriste Krstovski","GreaterEuropean","EastEuropean","\N","F"
"Kristen Allen","GreaterEuropean","British","\N","F"
"Kristen Brent Venable","GreaterEuropean","WestEuropean","French","F"
"Kristen Gardner","GreaterEuropean","British","\N","F"
"Kristen Grauman","GreaterEuropean","WestEuropean","Germanic","F"
"Kristen Jones","GreaterEuropean","British","\N","F"
"Kristen K. Dergousoff","GreaterEuropean","EastEuropean","\N","F"
"Kristen K. Greene","GreaterEuropean","Jewish","\N","F"
"Kristen Leach","GreaterEuropean","British","\N","F"
"Kristen LeFevre","GreaterEuropean","WestEuropean","French","F"
"Kristen M. Harris","GreaterEuropean","British","\N","F"
"Kristen Maria Summers","GreaterEuropean","British","\N","F"
"Kristen Parton","GreaterEuropean","WestEuropean","Italian","F"
"Kristen Pilner Blair","GreaterEuropean","British","\N","F"
"Kristen R. Walcott","GreaterEuropean","British","\N","F"
"Kristen Shinohara","Asian","GreaterEastAsian","Japanese","F"
"Kristen Shuyler","GreaterEuropean","British","\N","F"
"Kristen Stubbs","GreaterEuropean","British","\N","F"
"Kristen Vaccaro","GreaterEuropean","WestEuropean","Italian","F"
"Kristen Warren","GreaterEuropean","British","\N","F"
"Kristi Morton","GreaterEuropean","British","\N","F"
"Kristie Chevrier","GreaterEuropean","WestEuropean","French","F"
"Kristie Fisher","GreaterEuropean","EastEuropean","\N","F"
"Kristiina Jokinen","GreaterEuropean","EastEuropean","\N","F"
"Kristin A. Cook","GreaterEuropean","British","\N","F"
"Kristin Branson","GreaterEuropean","British","\N","F"
"Kristin Brooke Stecher","GreaterEuropean","British","\N","F"
"Kristin C. Gunsalus","GreaterEuropean","WestEuropean","Nordic","F"
"Kristin Cook","GreaterEuropean","British","\N","F"
"Kristin Dew","GreaterEuropean","British","\N","F"
"Kristin E. Lauter","GreaterEuropean","WestEuropean","Germanic","F"
"Kristin Hanks","GreaterEuropean","British","\N","F"
"Kristin J. Dana","GreaterEuropean","WestEuropean","French","F"
"Kristin Koch","GreaterEuropean","WestEuropean","Germanic","F"
"Kristin Lange","GreaterEuropean","WestEuropean","Nordic","F"
"Kristin P. Bennett","GreaterEuropean","British","\N","F"
"Kristin Precoda","GreaterEuropean","WestEuropean","Italian","F"
"Kristin Roher","GreaterEuropean","Jewish","\N","F"
"Kristin Tufte","GreaterEuropean","WestEuropean","Nordic","F"
"Kristin Vanderbilt","GreaterEuropean","WestEuropean","French","F"
"Kristin Williams","GreaterEuropean","British","\N","F"
"Kristin Young","Asian","GreaterEastAsian","EastAsian","F"
"Kristina Altmann","GreaterEuropean","Jewish","\N","F"
"Kristina Andersen","GreaterEuropean","WestEuropean","Nordic","F"
"Kristina Bötschi","Asian","GreaterEastAsian","Japanese","F"
"Kristina Doing-Harris","Asian","IndianSubContinent","\N","F"
"Kristina Gulordava","GreaterEuropean","EastEuropean","\N","F"
"Kristina Höök","GreaterEuropean","EastEuropean","\N","F"
"Kristina Kessler","GreaterEuropean","Jewish","\N","F"
"Kristina Knaving","GreaterEuropean","EastEuropean","\N","F"
"Kristina Lam Thai","GreaterEuropean","British","\N","F"
"Kristina Lapin","GreaterEuropean","Jewish","\N","F"
"Kristina Lerman","GreaterEuropean","Jewish","\N","F"
"Kristina Lisa Klinkner","GreaterEuropean","Jewish","\N","F"
"Kristina Lundqvist","GreaterEuropean","WestEuropean","Nordic","F"
"Kristina Marasovic","GreaterEuropean","EastEuropean","\N","F"
"Kristina Miler","GreaterEuropean","EastEuropean","\N","F"
"Kristina Scherbaum","GreaterEuropean","EastEuropean","\N","F"
"Kristina Sojakova","Asian","IndianSubContinent","\N","F"
"Kristina Star","GreaterEuropean","EastEuropean","\N","F"
"Kristina Striegnitz","GreaterEuropean","WestEuropean","Italian","F"
"Kristina Stripling","GreaterEuropean","EastEuropean","\N","F"
"Kristina Toutanova","GreaterEuropean","EastEuropean","\N","F"
"Kristina Vuskovic","GreaterEuropean","WestEuropean","Hispanic","F"
"Kristina Winbladh","GreaterAfrican","Muslim","\N","F"
"Kristine Deray","GreaterEuropean","WestEuropean","French","F"
"Kristine H. Atkinson","GreaterEuropean","British","\N","F"
"Kristine Recktenwald","GreaterEuropean","British","\N","F"
"Kristy Caster","GreaterEuropean","WestEuropean","Hispanic","F"
"Kristy Elizabeth Boyer","GreaterEuropean","WestEuropean","French","F"
"Kristy Hollingshead","GreaterEuropean","British","\N","F"
"Kristy Hollingshead-Seitz","GreaterEuropean","British","\N","F"
"Kristy Milland","GreaterEuropean","British","\N","F"
"Kristy Sim","Asian","GreaterEastAsian","EastAsian","F"
"Kristy Streefkerk","GreaterEuropean","British","\N","F"
"Kristy Wang","Asian","GreaterEastAsian","EastAsian","F"
"Krithi Ramamritham","Asian","IndianSubContinent","\N","F"
"Kriti Puniyani","Asian","IndianSubContinent","\N","F"
"Kritika Versha","Asian","IndianSubContinent","\N","F"
"Krol Kevin Mathias","GreaterEuropean","WestEuropean","French","F"
"Krupa Patel","Asian","IndianSubContinent","\N","F"
"Kruthi Sabnis Krishna","Asian","IndianSubContinent","\N","F"
"Krys Kochut","Asian","GreaterEastAsian","EastAsian","F"
"Krysta Chauncey","GreaterEuropean","British","\N","F"
"Krysta Marie Svore","GreaterEuropean","EastEuropean","\N","F"
"Krystal Lee","Asian","GreaterEastAsian","EastAsian","F"
"Krystelle Shaughnessy","GreaterEuropean","British","\N","F"
